	Peak_area	p_succes	GWAS_init	bg_1	bg_2	bg_3	bg_4	bg_5	P_gwas	P_ss1	FOLD1	P_ss2	FOLD2	P_ss3	FOLD3	P_ss4	FOLD4	P_ss5	FOLD5	MEAN
Sm_Ms_GI	13469909	0.004417354566914659	13	6	6	8	8	2	4.358093956768247e-05	0.07261563755030485	3.828638158489109	0.07261563755030485	3.828638158489109	0.015037256116107107	2.392269193501956	0.015037256116107107	2.392269193501956	0.19138334550753414	6.072592346551807	2.089831171758221
Sm_Ms_Mucosal	4944731	0.001621587054895062	5	2	3	5	4	1	0.0073552590065658905	0.2247250870541302	3.290517704875226	0.09392748408681244	2.0768952945874815	0.0073552590065658905	1.0	0.029405743387492373	1.3929530106097452	0.3579785234871525	4.781879123162511	1.4478791270225542
Sm_Ms_Muscularis_1	53459392	0.017531602432925196	28	25	16	18	19	13	0.00019170096082275472	0.001584551445368329	1.3275897762646816	0.08129915249858428	3.410705590430502	0.04854401852355345	2.829345298927617	0.03446727452969207	2.541633637165505	0.10951565349227854	3.870154707752094	1.5836950121760565
Sm_Ms_Muscularis_2	35590508	0.011671637354982332	20	19	12	13	14	7	0.0006016762907906197	0.0013496321520690233	1.1222574403056038	0.07373564952370679	2.8442754875317853	0.05104105656144517	2.4925981701643503	0.032764745840525224	2.1693734749134688	0.11644687545082241	3.448691629469891	1.3723538366401777
Sm_Ms_Muscularis_3	22366063	0.00733478084647424	20	8	7	11	9	3	1.5074267398644357e-06	0.09176801474157742	5.612373626208623	0.12953932291914536	6.559006792138279	0.016741436339552683	3.277637602777047	0.05771144301615103	4.699753678985729	0.10411442343860813	5.925525052573143	2.931378153155142
Sm_Ms_Uterine	18801424	0.006165784503139471	19	4	4	7	8	4	4.853641555818055e-07	0.18326160735121713	8.56790343385662	0.18326160735121713	8.56790343385662	0.09476624528670785	6.169888080440271	0.05636810674271098	5.0553253734963945	0.18326160735121713	8.56790343385662	4.160731258026486
Sm_Ms_Vaginal	5634548	0.0018478073118608194	9	2	3	5	4	1	1.5998047534183327e-05	0.2449663944028765	7.850686077732419	0.11669774706283181	5.140679704598321	0.011871276258004163	2.490743479705867	0.041640580439405286	3.4740972791341043	0.3423710979340272	10.302691930318852	3.3079421303537595
T_Lymphocyte_1__CD8_positive	32582560	0.010685203605887084	84	12	7	10	10	8	2.0045377619570145e-55	0.054654130576672094	43.32935828756746	0.13489146297683405	62.87012535932373	0.10609194945491153	56.13979202035422	0.10609194945491153	56.13979202035422	0.1396812585177951	63.984590113518216	31.4389349357247
T_lymphocyte_2__CD4_positive	13513446	0.004431632196093873	34	1	5	8	7	2	9.624510423097014e-23	0.11072781013911073	23.036124454690153	0.128347626175188	24.693047445371008	0.015261926081431926	12.121082709721348	0.03576113953900037	15.219683454319082	0.19050168824762082	30.574344596619962	11.779350560084977
Transitional_Cortical	24369010	0.007991632134611229	14	5	8	11	9	3	0.0027488875306501156	0.15572992820946194	3.1708203444563403	0.10976810750813008	2.668868626804971	0.02595284615702008	1.6148434819709607	0.07526318377278658	2.2795116013421617	0.08083820805152973	2.344271444765525	1.374459760536603
Tuft	974327	0.00031952315513922617	0	0	2	1	1	1	0.7808669975474185	0.7808669975474185	1.0	0.023864359229588843	0.06621847251161514	0.19317866223921684	0.15044367893543453	0.19317866223921684	0.15044367893543453	0.19317866223921684	0.15044367893543453	0.23566109502946203
Type_I_Skeletal_Myocyte	57536952	0.0188688073307362	41	24	21	21	20	19	4.8649438390322836e-09	0.006220143268923151	3.7679827896854596	0.024972228072770823	5.187332687652743	0.024972228072770823	5.187332687652743	0.03616495049300997	5.766006974794903	0.04981424498744642	6.381564378812067	2.9362381300248788
Type_II_Skeletal_Myocyte	39055406	0.01280792439331299	32	13	13	19	13	11	1.053730320718132e-08	0.07116001340306001	6.950270848820622	0.07116001340306001	6.950270848820622	0.003308348031163859	3.2161371198664046	0.07116001340306001	6.950270848820622	0.11342973589267848	8.439117435290218	3.640569468038717
V_Cardiomyocyte	79289426	0.02600236631510591	42	29	22	24	23	24	5.525642237276348e-06	0.012802718914576152	2.777842964021286	0.07880027974639343	4.76461214267571	0.057458779936483614	4.237814338932901	0.06878167287353203	4.522575420345882	0.057458779936483614	4.237814338932901	2.3114620797112853
Vasc_Sm_Muscle_1	60020038	0.01968311656490711	28	27	21	20	17	17	0.0009549382171967696	0.001782728969387995	1.0986243951396781	0.03245356986777109	2.028581047057471	0.0450176730388098	2.2426754014635204	0.08804250108574653	2.861748217912277	0.08804250108574653	2.861748217912277	1.260770391618144
Vasc_Sm_Muscle_2	31188005	0.010227869863093153	24	20	11	13	11	7	1.848763761821492e-06	0.00012895508815542964	1.473975550883879	0.06998488621321104	4.963757341912295	0.02785217512102064	3.686558975712725	0.06998488621321104	4.963757341912295	0.14156328252165104	6.752397145143726	2.4610923984037796
